poly_id,n,rmse_base,rmse_seas,mae_base,mae_seas,slope,intercept,pearson_r,r2_in,delta_rmse
P074,132,0.17949362380275224,0.232162392295365,0.13524941956074268,0.17210653936844175,1.1237629421143658,-0.2262003541258188,0.8100837232763368,0.6562356387172525,-0.05266876849261276
P075,126,0.1570933866435237,0.20837823294172306,0.1156310802874333,0.14398030805481524,1.0293234901576882,-0.11667241844549016,0.839723079928597,0.7051348509647698,-0.05128484629819935
P076,142,0.1530669625160408,0.1662696554776967,0.12328092415294874,0.1351798152410027,0.9647480901572272,-0.22119239175457317,0.7196660042338269,0.5179191576498825,-0.01320269296165591
P077,126,0.20596821271641816,0.22752370969629443,0.16861437624648443,0.18735620417714682,0.9499649586928988,-0.048494786109802006,0.6493543359314049,0.42166105359291606,-0.02155549697987627
P078,127,0.19558028201117583,0.17926320422577693,0.1568324287118746,0.13026331053487103,0.728540299362241,-0.011351363594895202,0.48303480852287506,0.23332262624473066,0.016317077785398898
P079,127,0.24460087952854093,0.20498056627699135,0.20979940886149875,0.15306432919514704,-0.38023751475551276,0.6225750242298622,-0.2665869456100522,0.0710685995696968,0.03962031325154958
P080,129,0.1625023836133994,0.1718211158911642,0.12861180551686205,0.1362835021112723,1.123465147813287,-0.23623715192071346,0.8058462934426671,0.6493882486552849,-0.009318732277764807
P081,127,0.23706368893551605,0.28340612880740657,0.18580413948649246,0.22375731427408005,0.1800140136937862,0.19396027632878093,0.15395982233037744,0.02370362689200145,-0.04634243987189052
P082,125,0.176651654307849,0.1767906823182292,0.14952992765484038,0.14090872919624692,1.0418727766148648,-0.14402939178240065,0.7700772374309293,0.5930189516092521,-0.00013902801038020995
P083,133,0.16611718843343423,0.16550031515844355,0.13334776806083593,0.12665817312736039,0.7859373264901468,-0.023358184397138552,0.6942440232365877,0.4819747637997239,0.0006168732749906869
P084,130,0.2327875686576005,0.30969210092858857,0.19183346830441209,0.2600419531943278,0.4402853743095042,0.20937811517767455,0.27667937837932766,0.07655147842037147,-0.07690453227098806
P085,125,0.19949620113044084,0.23608984432906713,0.15621457927733892,0.18083637792892254,0.8905381441513436,-0.10098333193517889,0.6823681388082382,0.46562627686061886,-0.03659364319862629
P086,135,0.3061795321984941,0.21773799638825336,0.2711964193984825,0.15732326642676855,0.28902186097382854,0.25646712942873384,0.18511981354537246,0.03426934536707327,0.08844153581024072
P087,132,0.24602034014805282,0.2535975037837931,0.1983104529051891,0.19191348846850803,0.8480085797668819,-0.046077924554181277,0.5959793102289798,0.35519133822101034,-0.007577163635740264
P088,124,0.16342376901504602,0.18253432508059247,0.12396854562828388,0.13571639143376987,1.1541002959278635,-0.23393054342269037,0.7947933879388065,0.631696529511247,-0.019110556065546458
P089,141,0.21171538473847437,0.21750527551126783,0.17338603387712326,0.1727111689940695,0.6277055409552256,0.2101367403558048,0.4306247907538751,0.185437710411819,-0.00578989077279346
P090,129,0.2159370283486452,0.20285087316601583,0.17621666143586634,0.14472299738494157,0.7339900007343308,0.012240981357132407,0.5315663438963736,0.2825627779633578,0.013086155182629372
P091,132,0.16917528994773048,0.16893719373363367,0.13227758992606206,0.1308370380381741,1.4386997433533386,-0.34475112695218557,0.8236112732937122,0.6783355294964892,0.0002380962140968168
P092,123,0.20813687608001058,0.22365103780926754,0.18178937029970155,0.18856655255337107,0.9308011583891663,-0.013606844362704554,0.6710950810277989,0.45036860777970844,-0.015514161729256959
P093,129,0.2560056266872611,0.26668345557665907,0.1964654837509103,0.1978654442012927,0.42039088771157557,0.13431559515684738,0.1940071411168843,0.03763877080434663,-0.010677828889397945
P094,130,0.26900421619985365,0.23474731574075877,0.23873612503740446,0.17447089725274842,0.0596335472182275,0.350358643357203,0.032826128527556835,0.0010775547141075315,0.03425690045909488
P095,128,0.15531232794851962,0.18014081146728597,0.11653842971360949,0.1299584563110418,1.0941284464287637,-0.20781986974313996,0.8182632206775107,0.6695546983135319,-0.024828483518766348
P096,137,0.2677194554015311,0.2420982831487074,0.23178518427772624,0.19016943916949622,0.5675764267433411,0.15200399240985435,0.3637028344667732,0.13227975179916518,0.025621172252823676
P097,128,0.2988354757514605,0.21184908886556905,0.27073486962854426,0.1614557896399936,0.32388858050527686,0.29024591340308953,0.19332103159988503,0.037373021258843675,0.08698638688589147
P098,127,0.15747882932351945,0.1810119041025637,0.1197589072095368,0.1347235243927377,1.2087317589607018,-0.23798152031413827,0.7906721979718572,0.625162524645648,-0.02353307477904426
P099,132,0.1979703271281208,0.23414782705703008,0.14950252058752586,0.18237636219083153,0.8481255337759597,-0.10811599257277746,0.6898609115820681,0.47590807732884177,-0.036177499928909285
P100,124,0.22980791318271412,0.3211562315776236,0.1876744653662047,0.25724715894805916,-0.0003883249856924971,0.3791130578038131,-0.00027170353969327025,7.382281397294577e-08,-0.09134831839490945
P101,122,0.20554002535877178,0.2243930458904289,0.181440387580338,0.1886423548048755,0.8886862709686221,0.02048913319458716,0.652868241403619,0.42623694063345374,-0.018853020531657133
P102,128,0.2968945162397843,0.25464999725090354,0.26198771129474596,0.18872804959664605,0.2257341224297083,0.27783651993849057,0.16049713383263003,0.025759329968489175,0.042244518988880764
P103,133,0.2597410341054823,0.2904068739764329,0.19522532805575804,0.2137637240710115,0.11914909797133906,0.1996987593708507,0.06981894986140995,0.00487468575975003,-0.030665839870950562
P104,127,0.1754577471843541,0.21045928394355212,0.13417323811761453,0.1612901890096237,1.330671688629432,-0.2634790276183115,0.7744135353203185,0.5997163236873151,-0.03500153675919801
P105,133,0.274811038124142,0.31140359802612916,0.22371736608990606,0.26281480539239926,0.16248664567157312,0.28289158346286214,0.0767570963064109,0.005891651833391687,-0.036592559901987176
P106,130,0.2576689711720001,0.2146732449767417,0.23026888626579514,0.1672211991619371,0.10206295389869292,0.3875563207243882,0.06452405923004423,0.004163354219522186,0.042995726195258405
