poly_id,n,ndvi_min,ndvi_max,ndvi_span,rvi_min,rvi_max,slope,intercept,pearson_r,spearman_r,r2
P054,124,0.031,0.939,0.908,0.316,0.967,1.1363,-0.2534,0.728,0.634,0.53
P055,125,0.063,0.907,0.843,0.255,1.032,0.9344,-0.0937,0.736,0.587,0.542
P056,123,-0.006,0.911,0.916,0.161,0.874,0.762,0.059,0.536,0.552,0.288
P057,126,0.015,0.902,0.887,0.139,1.083,0.1477,0.2624,0.103,0.311,0.011
P058,129,0.015,0.868,0.853,0.293,1.234,0.7709,-0.1072,0.691,0.733,0.477
P059,119,0.124,0.869,0.745,0.241,1.01,0.9817,-0.1547,0.78,0.709,0.608
P060,124,0.028,0.94,0.912,0.238,0.92,1.1501,-0.2519,0.845,0.772,0.713
P061,124,0.018,0.9,0.882,0.188,0.906,0.5774,0.0905,0.36,0.405,0.13
P062,119,0.016,0.901,0.886,0.196,0.903,0.7755,-0.023,0.442,0.503,0.195
P063,129,0.034,0.811,0.778,0.256,0.979,0.8436,-0.0841,0.703,0.651,0.495
P064,129,0.032,0.9,0.868,0.234,0.9,1.1378,-0.1735,0.83,0.748,0.688
P065,133,0.042,0.951,0.909,0.356,1.052,0.6174,0.2373,0.471,0.514,0.222
P066,128,-0.017,0.806,0.824,0.245,0.841,0.9144,-0.1314,0.795,0.762,0.632
P067,131,-0.001,0.935,0.936,0.24,1.046,0.9974,-0.1478,0.793,0.751,0.629
P068,132,0.016,0.911,0.895,0.265,1.142,0.8446,-0.1296,0.715,0.617,0.512
P069,127,0.005,0.918,0.913,0.316,0.966,1.2788,-0.3631,0.83,0.76,0.689
P070,124,0.024,0.912,0.888,0.343,1.069,0.8926,-0.1691,0.739,0.662,0.546
P071,128,0.016,0.848,0.832,0.207,1.216,0.4667,0.1228,0.443,0.419,0.196
P072,130,0.028,0.888,0.86,0.215,0.868,0.8051,-0.0257,0.589,0.586,0.347
P073,133,0.01,0.933,0.923,0.281,0.988,0.9733,-0.1025,0.703,0.742,0.495
P074,132,0.003,0.944,0.941,0.286,1.118,1.1238,-0.2262,0.81,0.791,0.656
P075,126,0.023,0.915,0.892,0.179,0.908,1.0293,-0.1167,0.84,0.742,0.705
P076,142,-0.002,0.806,0.808,0.338,0.881,0.9647,-0.2212,0.72,0.709,0.518
P077,126,0.001,0.922,0.921,0.206,1.111,0.95,-0.0485,0.649,0.686,0.422
P078,127,-0.002,0.847,0.849,0.229,0.861,0.7285,-0.0114,0.483,0.424,0.233
P079,127,0.007,0.857,0.851,0.203,0.921,-0.3802,0.6226,-0.267,-0.158,0.071
P080,129,0.022,0.912,0.89,0.262,1.049,1.1235,-0.2362,0.806,0.578,0.649
P081,127,0.055,0.844,0.789,0.136,1.033,0.18,0.194,0.154,0.245,0.024
P082,125,0.025,0.924,0.899,0.25,1.023,1.0419,-0.144,0.77,0.686,0.593
P083,133,0.033,0.863,0.83,0.199,0.832,0.7859,-0.0234,0.694,0.688,0.482
P084,130,0.008,0.863,0.854,0.227,0.788,0.4403,0.2094,0.277,0.252,0.077
P085,125,0.004,0.878,0.874,0.253,1.04,0.8905,-0.101,0.682,0.568,0.466
P086,135,0.006,0.884,0.878,0.17,0.846,0.289,0.2565,0.185,0.224,0.034
P087,132,0.008,0.92,0.912,0.303,1.007,0.848,-0.0461,0.596,0.632,0.355
P088,124,0.026,0.879,0.853,0.254,0.909,1.1541,-0.2339,0.795,0.652,0.632
P089,141,0.013,0.942,0.928,0.362,0.957,0.6277,0.2101,0.431,0.449,0.185
P090,129,0.007,0.916,0.909,0.253,0.877,0.734,0.0122,0.532,0.44,0.283
P091,132,0.023,0.928,0.906,0.284,0.935,1.4387,-0.3448,0.824,0.477,0.678
P092,123,0.011,0.958,0.947,0.3,0.99,0.9308,-0.0136,0.671,0.665,0.45
P093,129,-0.05,0.905,0.955,0.183,0.882,0.4204,0.1343,0.194,0.249,0.038
P094,130,-0.023,0.866,0.889,0.101,0.781,0.0596,0.3504,0.033,0.068,0.001
P095,128,0.001,0.913,0.913,0.289,1.008,1.0941,-0.2078,0.818,0.782,0.67
P096,137,0.02,0.902,0.882,0.176,0.883,0.5676,0.152,0.364,0.432,0.132
P097,128,-0.094,0.93,1.024,0.171,0.963,0.3239,0.2902,0.193,0.205,0.037
P098,127,0.036,0.929,0.893,0.265,0.926,1.2087,-0.238,0.791,0.729,0.625
P099,132,0.009,0.903,0.894,0.302,1.134,0.8481,-0.1081,0.69,0.582,0.476
P100,124,0.008,0.844,0.836,0.11,0.826,-0.0004,0.3791,-0.0,-0.017,0.0
P101,122,0.123,0.942,0.82,0.292,1.015,0.8887,0.0205,0.653,0.667,0.426
P102,128,-0.088,0.924,1.012,0.144,1.143,0.2257,0.2778,0.16,0.245,0.026
P103,133,-0.066,0.857,0.923,0.1,0.752,0.1191,0.1997,0.07,0.225,0.005
P104,127,-0.002,0.921,0.923,0.275,0.828,1.3307,-0.2635,0.774,0.739,0.6
P105,133,-0.077,0.885,0.963,0.177,1.022,0.1625,0.2829,0.077,0.211,0.006
P106,130,-0.024,0.903,0.927,0.235,0.866,0.1021,0.3876,0.065,0.112,0.004
P107,137,0.003,0.873,0.87,0.195,0.898,1.1289,-0.189,0.734,0.7,0.539
P108,138,-0.025,0.915,0.94,0.263,1.043,0.8015,-0.0647,0.736,0.702,0.541
P109,139,0.01,0.955,0.945,0.369,0.947,0.737,0.1589,0.471,0.456,0.222
P110,137,-0.014,0.928,0.942,0.21,1.087,0.759,0.0026,0.677,0.665,0.459
P111,128,0.013,0.932,0.919,0.274,0.927,0.9914,-0.1739,0.721,0.62,0.519
P112,128,0.023,0.807,0.784,0.137,0.786,0.2016,0.2524,0.144,0.07,0.021
P113,130,0.015,0.884,0.869,0.237,0.927,1.0306,-0.1429,0.757,0.704,0.572
P114,119,0.104,0.913,0.809,0.368,0.827,1.3055,-0.4098,0.718,0.588,0.515
P115,139,-0.003,0.8,0.803,0.248,1.086,0.7401,-0.044,0.749,0.732,0.562
P116,131,-0.001,0.864,0.865,0.092,0.851,0.5814,0.1063,0.408,0.374,0.167
P117,128,0.024,0.915,0.891,0.386,1.103,1.0292,-0.2322,0.706,0.647,0.498
P118,130,-0.017,0.371,0.388,0.306,0.498,-0.0973,0.1523,-0.069,-0.153,0.005
P119,133,0.001,0.849,0.848,0.15,0.887,-0.0526,0.3549,-0.037,0.017,0.001
P120,127,0.016,0.921,0.905,0.304,0.906,1.0347,-0.1533,0.695,0.65,0.483
P121,125,0.053,0.893,0.84,0.388,1.027,0.948,-0.1862,0.645,0.577,0.415
P122,125,0.082,0.901,0.819,0.265,0.899,0.8019,-0.0302,0.574,0.56,0.33
P123,133,-0.007,0.95,0.957,0.368,0.983,1.1592,-0.2199,0.654,0.632,0.428
P124,123,0.034,0.353,0.32,0.346,0.728,-0.0907,0.2168,-0.106,-0.224,0.011
P125,122,0.029,0.877,0.849,0.38,0.899,1.1135,-0.2696,0.689,0.72,0.475
P126,146,-0.008,0.89,0.898,0.335,1.215,0.7699,-0.0996,0.671,0.72,0.45
P127,126,0.002,0.921,0.918,0.258,1.055,1.0243,-0.1721,0.789,0.717,0.623
P128,127,-0.095,0.864,0.959,0.2,0.921,0.2817,0.2116,0.141,0.324,0.02
P129,128,-0.005,0.838,0.844,0.436,1.018,0.8488,-0.1096,0.649,0.661,0.422
P130,128,0.002,0.897,0.895,0.276,1.027,1.0319,-0.1787,0.81,0.712,0.655
P131,134,0.024,0.886,0.863,0.275,1.033,0.7144,-0.0121,0.674,0.667,0.454
P132,133,0.003,0.944,0.941,0.358,1.128,0.8219,0.0208,0.592,0.622,0.35
P133,132,0.033,0.934,0.901,0.315,1.024,1.0508,-0.0909,0.721,0.741,0.519
P134,130,0.005,0.905,0.899,0.239,1.023,0.8755,-0.1173,0.748,0.648,0.559
P135,127,0.008,0.911,0.902,0.291,1.028,0.9865,-0.1817,0.821,0.709,0.674
P136,128,-0.091,0.881,0.972,0.164,0.773,-0.0958,0.3523,-0.052,0.106,0.003
P137,126,0.037,0.855,0.819,0.592,1.004,0.228,0.4892,0.132,0.088,0.018
P138,129,-0.009,0.922,0.931,0.36,1.173,1.0816,-0.2543,0.775,0.616,0.6
P139,132,0.021,0.945,0.925,0.267,0.99,0.914,0.0163,0.668,0.624,0.446
P140,128,0.01,0.874,0.864,0.238,1.151,0.782,-0.0671,0.762,0.643,0.58
P141,125,0.035,0.932,0.897,0.282,0.9,0.8659,0.0365,0.547,0.564,0.299
P142,132,-0.19,0.897,1.087,0.266,1.08,0.846,-0.1062,0.804,0.748,0.647
P143,127,0.072,0.952,0.88,0.326,1.018,1.016,-0.0967,0.651,0.63,0.423
P144,124,0.002,0.917,0.916,0.348,1.195,0.8948,-0.165,0.75,0.73,0.562
P145,127,0.007,0.912,0.905,0.255,0.946,0.9856,-0.1874,0.727,0.548,0.529
P146,125,-0.111,0.869,0.98,0.158,0.839,-0.376,0.5278,-0.242,-0.129,0.059
P147,125,0.055,0.948,0.893,0.323,1.058,0.9558,-0.0419,0.614,0.597,0.377
P148,129,0.023,0.88,0.857,0.254,1.234,0.8835,-0.085,0.817,0.711,0.668
P149,132,0.029,0.943,0.914,0.428,1.098,0.5588,0.266,0.411,0.458,0.169
P150,127,-0.119,0.896,1.014,0.204,0.881,-0.0662,0.3897,-0.05,0.03,0.003
P151,127,0.01,0.919,0.909,0.326,1.142,0.7764,-0.0937,0.706,0.749,0.499
P152,132,-0.017,0.945,0.962,0.417,1.015,0.7781,0.0799,0.498,0.501,0.248
P153,131,-0.001,0.909,0.909,0.264,1.004,1.1363,-0.2148,0.799,0.797,0.639
P154,129,-0.012,0.901,0.913,0.214,0.886,-0.2211,0.5157,-0.132,-0.028,0.017
