poly_id,s2_date,ndvi_finale,sorgente,distanza_giorni,ndvi_osservato
P113,2024-09-04,0.1619,osservato,0,0.1619
P113,2024-09-09,0.2031,osservato,0,0.2031
P113,2024-09-14,0.2008,interpolato,5,
P113,2024-09-19,0.1985,interpolato,10,
P113,2024-09-24,0.19619999999999999,interpolato,5,
P113,2024-09-29,0.1939,osservato,0,0.1939
P113,2024-10-04,0.17859999999999998,interpolato,5,
P113,2024-10-09,0.1633,interpolato,10,
P113,2024-10-14,0.148,interpolato,15,
P113,2024-10-19,0.13269999999999998,interpolato,10,
P113,2024-10-24,0.11739999999999999,interpolato,5,
P113,2024-10-29,0.1021,osservato,0,0.1021
P113,2024-11-03,0.2189,osservato,0,0.2189
P113,2024-11-08,0.22985,interpolato,5,
P113,2024-11-13,0.2408,osservato,0,0.2408
P113,2024-11-18,0.24935000000000002,interpolato,5,
P113,2024-11-23,0.2579,osservato,0,0.2579
P113,2024-11-28,0.2391,interpolato,5,
P113,2024-12-03,0.2203,interpolato,10,
P113,2024-12-08,0.2015,interpolato,5,
P113,2024-12-13,0.1827,osservato,0,0.1827
P113,2024-12-18,0.2124,interpolato,5,
P113,2024-12-23,0.2421,osservato,0,0.2421
P113,2024-12-28,0.2059,osservato,0,0.2059
P113,2025-01-02,0.2265,interpolato,5,
P113,2025-01-07,0.2471,interpolato,5,
P113,2025-01-12,0.2677,osservato,0,0.2677
P113,2025-01-17,0.2047,osservato,0,0.2047
P113,2025-01-22,0.215775,interpolato,5,
P113,2025-01-27,0.22685,interpolato,10,
P113,2025-02-01,0.237925,interpolato,5,
P113,2025-02-06,0.249,osservato,0,0.249
P113,2025-02-11,0.2881,interpolato,5,
P113,2025-02-16,0.3272,osservato,0,0.3272
P113,2025-02-21,0.2087,osservato,0,0.2087
P113,2025-02-26,0.2526,interpolato,5,
P113,2025-03-03,0.2965,osservato,0,0.2965
P113,2025-03-08,0.33045,interpolato,5,
P113,2025-03-13,0.3644,osservato,0,0.3644
P113,2025-03-15,0.3749,interpolato,2,
P113,2025-03-18,0.39065,interpolato,5,
P113,2025-03-23,0.4169,osservato,0,0.4169
P113,2025-03-25,0.2714,osservato,0,0.2714
P113,2025-03-28,0.30515,interpolato,3,
P113,2025-04-02,0.3614,interpolato,2,
P113,2025-04-04,0.3839,osservato,0,0.3839
P113,2025-04-07,0.3929375,interpolato,3,
P113,2025-04-12,0.408,osservato,0,0.408
P113,2025-04-14,0.4632,interpolato,2,
P113,2025-04-17,0.546,osservato,0,0.546
P113,2025-04-22,0.5012,osservato,0,0.5012
P113,2025-04-24,0.5111,osservato,0,0.5111
P113,2025-04-27,0.4978,osservato,0,0.4978
P113,2025-05-02,0.1961,osservato,0,0.1961
P113,2025-05-04,0.18684,interpolato,2,
P113,2025-05-07,0.17295,interpolato,5,
P113,2025-05-12,0.1498,osservato,0,0.1498
P113,2025-05-14,0.1778,osservato,0,0.1778
P113,2025-05-17,0.1509,osservato,0,0.1509
P113,2025-05-22,0.1846,interpolato,5,
P113,2025-05-24,0.19808,interpolato,7,
P113,2025-05-27,0.2183,interpolato,5,
P113,2025-06-01,0.252,osservato,0,0.252
P113,2025-06-03,0.3088,osservato,0,0.3088
P113,2025-06-11,0.5078,osservato,0,0.5078
P113,2025-06-13,0.4691,osservato,0,0.4691
P113,2025-06-16,0.5649,osservato,0,0.5649
P113,2025-06-21,0.7536,osservato,0,0.7536
P113,2025-06-23,0.7313,osservato,0,0.7313
P113,2025-06-26,0.7631,osservato,0,0.7631
P113,2025-07-01,0.5778,osservato,0,0.5778
P113,2025-07-03,0.7958,osservato,0,0.7958
P113,2025-07-06,0.796025,interpolato,3,
P113,2025-07-11,0.7964,osservato,0,0.7964
P113,2025-07-13,0.78844,interpolato,2,
P113,2025-07-16,0.7765,osservato,0,0.7765
P113,2025-07-21,0.1973,osservato,0,0.1973
P113,2025-07-23,0.7301,osservato,0,0.7301
P113,2025-07-26,0.7462,osservato,0,0.7462
P113,2025-07-31,0.7296,osservato,0,0.7296
P113,2025-08-02,0.7234166666666667,interpolato,2,
P113,2025-08-05,0.7141416666666667,interpolato,5,
P113,2025-08-12,0.6925,osservato,0,0.6925
P113,2025-08-15,0.678,osservato,0,0.678
P113,2025-08-20,0.6553,osservato,0,0.6553
P113,2025-08-22,0.7103,osservato,0,0.7103
